Cell Name                 | Power-Grid View     | Number of Instances
----------------------------------------------------------------------
OAI22_X2                  | port                | 186
OAI211_X1                 | port                | 190
FILLCELL_X32              | port                | 4605
NOR3_X1                   | port                | 139
INV_X16                   | port                | 41
AOI222_X1                 | port                | 260
AND3_X1                   | port                | 20
AOI222_X2                 | port                | 8
NOR2_X4                   | port                | 5
AND3_X2                   | port                | 3
OAI221_X1                 | port                | 220
AOI221_X1                 | port                | 340
OAI222_X1                 | port                | 61
NAND4_X2                  | port                | 75
NOR4_X2                   | port                | 23
FILLCELL_X16              | port                | 1843
AND2_X2                   | port                | 42
AND3_X4                   | port                | 20
DFFS_X1                   | port                | 695
FILLCELL_X2               | port                | 6383
XOR2_X2                   | port                | 77
OAI21_X2                  | port                | 205
AND4_X2                   | port                | 1
FILLCELL_X4               | port                | 6394
AOI21_X1                  | port                | 234
MUX2_X1                   | port                | 2
AOI221_X2                 | port                | 40
AOI22_X1                  | port                | 643
NAND3_X2                  | port                | 115
INV_X8                    | port                | 20
OAI222_X2                 | port                | 83
AND2_X4                   | port                | 69
DFFR_X1                   | port                | 1036
NAND3_X1                  | port                | 241
NAND2_X4                  | port                | 8
DFFR_X2                   | port                | 224
OR3_X4                    | port                | 7
HA_X1                     | port                | 57
AOI211_X1                 | port                | 59
AOI22_X2                  | port                | 750
XNOR2_X1                  | port                | 25
FILLCELL_X8               | port                | 3776
INV_X1                    | port                | 787
AND2_X1                   | port                | 39
AOI21_X2                  | port                | 168
CLKBUF_X2                 | port                | 41
INV_X4                    | port                | 666
NAND4_X1                  | port                | 117
DFFS_X2                   | port                | 82
OAI33_X1                  | port                | 50
NAND2_X2                  | port                | 603
CLKBUF_X3                 | port                | 23
NOR3_X2                   | port                | 77
NOR4_X1                   | port                | 84
OR4_X1                    | port                | 14
BUF_X2                    | port                | 91
OAI221_X2                 | port                | 45
FILLCELL_X1               | port                | 6451
BUF_X16                   | port                | 385
OR4_X2                    | port                | 9
NOR4_X4                   | port                | 1
NOR2_X2                   | port                | 333
BUF_X1                    | port                | 84
OR4_X4                    | port                | 3
CLKBUF_X1                 | port                | 1457
NAND2_X1                  | port                | 575
OR2_X1                    | port                | 51
OAI21_X4                  | port                | 1
BUF_X32                   | port                | 2301
INV_X2                    | port                | 284
BUF_X4                    | port                | 240
OR3_X2                    | port                | 11
MUX2_X2                   | port                | 142
AND4_X1                   | port                | 5
FA_X1                     | port                | 31
NOR2_X1                   | port                | 286
OR2_X4                    | port                | 13
INV_X32                   | port                | 11
NOR3_X4                   | port                | 4
OR2_X2                    | port                | 16
OR3_X1                    | port                | 17
OAI22_X1                  | port                | 962
OAI211_X2                 | port                | 64
BUF_X8                    | port                | 285
XOR2_X1                   | port                | 63
OAI21_X1                  | port                | 335
AND4_X4                   | port                | 14
XNOR2_X2                  | port                | 79
AOI211_X2                 | port                | 64
